"","human_gene","horse_gene"
"3202","CYB561D1","CYB561D1"
"3203","CYB561D2","CYB561D2"
"3204","CYB5B","CYB5B"
"3205","CYB5D2","CYB5D2"
"3206","CYB5R1","CYB5R1"
"3207","CYB5R2","CYB5R2"
"3208","CYB5R3","CYB5R3"
"3209","CYB5R4","CYB5R4"
"3210","CYB5RL","CYB5RL"
"3211","CYBA","CYBA"
"3212","CYBB","CYBB"
"3213","CYBC1","CYBC1"
"3214","CYBRD1","CYBRD1"
"3215","CYC1","CYC1"
"3216","CYFIP1","CYFIP1"
"3217","CYFIP2","CYFIP2"
"3218","CYGB","CYGB"
"3219","TMEM276-ZFTRAF1","CYHR1"
"3220","CYLC1","CYLC1"
"3221","CYLD","CYLD"
"3222","CYP11A1","CYP11A1"
"3223","CYP17A1","CYP17A1"
"3224","CYP19A1","CYP19A1"
"3225","CYP1A1","CYP1A1"
"3226","CYP1A2","CYP1A2"
"3227","CYP1B1","CYP1B1"
"3228","CYP20A1","CYP20A1"
"3229","CYP21A2","CYP21A1"
"3230","CYP24A1","CYP24A1"
"3231","CYP26A1","CYP26A1"
"3232","CYP26B1","CYP26B1"
"3233","CYP26C1","CYP26C1"
"3234","CYP27A1","CYP27A1"
"3235","CYP27B1","CYP27B1"
"3236","CYP27C1","CYP27C1"
"3237","CYP2A13","CYP2A13"
"3238","CYP2B6","CYP2B6"
"3239","CYP2E1","CYP2E1"
"3240","CYP2F1","CYP2F1"
"3241","CYP2J2","CYP2J2"
"3242","CYP2R1","CYP2R1"
"3243","CYP2S1","CYP2S1"
"3244","HADH","CYP2U1"
"3245","CYP2W1","CYP2W1"
"3246","CYP39A1","CYP39A1"
"3247","CYP3A4","CYP3A89"
"3248","CYP3A5","CYP3A94"
"3249","CYP46A1","CYP46A1"
"3250","CYP4F8","CYP4F119"
"3251","CYP4F22","CYP4F22"
"3252","CYP4X1","CYP4X1"
"3253","CYP51A1","CYP51A1"
"3254","CYP7A1","CYP7A1"
"3255","CYP7B1","CYP7B1"
"3256","CYREN","CYREN"
"3257","CYRIA","CYRIA"
"3258","CYRIB","CYRIB"
"3259","CYS1","CYS1"
"3260","CYSLTR1","CYSLTR1"
"3261","CYSLTR2","CYSLTR2"
"3262","CYSRT1","CYSRT1"
"3263","CYTH1","CYTH1"
"3264","CYTH2","CYTH2"
"3265","CYTH3","CYTH3"
"3266","CYTH4","CYTH4"
"3267","CYTIP","CYTIP"
"3268","CYTL1","CYTL1"
"3269","CZIB","CZIB"
"3270","D2HGDH","D2HGDH"
"3271","DAAM1","DAAM1"
"3272","DAAM2","DAAM2"
"3273","DAB1","DAB1"
"3274","DAB2","DAB2"
"3275","DAB2IP","DAB2IP"
"3276","DACH1","DACH1"
"3277","DACH2","DACH2"
"3278","DACT1","DACT1"
"3279","DACT2","DACT2"
"3280","DACT3","DACT3"
"3281","DAD1","DAD1"
"3282","DAG1","DAG1"
"3283","DAGLA","DAGLA"
"3284","DAGLB","DAGLB"
"3285","DALRD3","DALRD3"
"3286","DAND5","DAND5"
"3287","DAO","DAO"
"3288","DAP","DAP"
"3289","DAP3","DAP3"
"3290","DAPK1","DAPK1"
"3291","DAPK2","DAPK2"
"3292","DAPK3","DAPK3"
"3293","DAPL1","DAPL1"
"3294","DAPP1","DAPP1"
"3295","DARS1","DARS1"
"3296","DARS2","DARS2"
"3297","DAW1","DAW1"
"3298","DAXX","DAXX"
"3299","DAZAP1","DAZAP1"
"3300","DAZAP2","DAZAP2"
"3301","DBF4","DBF4"
"3302","DBF4B","DBF4B"
"3303","DBH","DBH"
"3304","DBI","DBI"
"3305","DBN1","DBN1"
"3306","DBNDD1","DBNDD1"
"3307","DBNDD2","DBNDD2"
"3308","DBNL","DBNL"
"3309","DBP","DBP"
"3310","DBR1","DBR1"
"3311","DBT","DBT"
"3312","DBX1","DBX1"
"3313","DBX2","DBX2"
"3314","DCAF1","DCAF1"
"3315","DCAF10","DCAF10"
"3316","DCAF11","DCAF11"
"3317","DCAF12","DCAF12"
"3318","DCAF12L2","DCAF12L2"
"3319","DCAF13","DCAF13"
"3320","DCAF15","DCAF15"
"3321","DCAF16","DCAF16"
"3322","DCAF17","DCAF17"
"3323","DCAF5","DCAF5"
"3324","DCAF6","DCAF6"
"3325","DCAF7","DCAF7"
"3326","DCAF8","DCAF8"
"3327","DCAKD","DCAKD"
"3328","DCBLD1","DCBLD1"
"3329","DCBLD2","DCBLD2"
"3330","DCC","DCC"
"3331","DCDC1","DCDC1"
"3332","DCDC2","DCDC2"
"3333","DCHS1","DCHS1"
"3334","DCHS2","DCHS2"
"3335","DCK","DCK"
"3336","DCLK1","DCLK1"
"3337","DCLK2","DCLK2"
"3338","DCLK3","DCLK3"
"3339","DCLRE1A","DCLRE1A"
"3340","DCLRE1B","DCLRE1B"
"3341","DCLRE1C","DCLRE1C"
"3342","DCN","DCN"
"3343","DCP1A","DCP1A"
"3344","DCP1B","DCP1B"
"3345","DCP2","DCP2"
"3346","DCPS","DCPS"
"3347","DCST1","DCST1"
"3348","DCST2","DCST2"
"3349","DCSTAMP","DCSTAMP"
"3350","DCT","DCT"
"3351","DCTD","DCTD"
"3352","DCTN1","DCTN1"
"3353","DCTN2","DCTN2"
"3354","DCTN3","DCTN3"
"3355","DCTN4","DCTN4"
"3356","DCTN5","DCTN5"
"3357","DCTN6","DCTN6"
"3358","SEPHS2","DCTPP1"
"3359","DCUN1D1","DCUN1D1"
"3360","DCUN1D2","DCUN1D2"
"3361","DCUN1D3","DCUN1D3"
"3362","DCUN1D4","DCUN1D4"
"3363","DCUN1D5","DCUN1D5"
"3364","DCX","DCX"
"3365","DCXR","DCXR"
"3366","DDA1","DDA1"
"3367","DDAH1","DDAH1"
"3368","DDAH2","DDAH2"
"3369","DDB1","DDB1"
"3370","DDB2","DDB2"
"3371","DDC","DDC"
"3372","DDHD1","DDHD1"
"3373","DDHD2","DDHD2"
"3374","DDI1","DDI1"
"3375","DDIAS","DDIAS"
"3376","DDIT3","DDIT3"
"3377","DDIT4","DDIT4"
"3378","DDIT4L","DDIT4L"
"3379","DDN","DDN"
"3380","DDO","DDO"
"3381","DDOST","DDOST"
"3382","DDR1","DDR1"
"3383","DDR2","DDR2"
"3384","DDRGK1","DDRGK1"
"3385","DDX1","DDX1"
"3386","DDX10","DDX10"
"3387","DDX11","DDX11"
"3388","DDX17","DDX17"
"3389","DDX18","DDX18"
"3390","DDX19A","DDX19A"
"3391","DDX19B","DDX19B"
"3392","DDX20","DDX20"
"3393","DDX21","DDX21"
"3394","DDX23","DDX23"
"3395","DDX24","DDX24"
"3396","DDX25","DDX25"
"3397","DDX27","DDX27"
"3398","DDX28","DDX28"
"3399","DDX31","DDX31"
"3400","DDX39A","DDX39A"
"3401","DDX39B","DDX39B"
"3402","DDX3X","DDX3X"
"3403","DDX4","DDX4"
"3404","DDX41","DDX41"
"3405","DDX42","DDX42"
"3406","DDX46","DDX46"
"3407","DDX47","DDX47"
"3408","DDX49","DDX49"
"3409","DDX5","DDX5"
"3410","DDX50","DDX50"
"3411","DDX51","DDX51"
"3412","DDX52","DDX52"
"3413","DDX54","DDX54"
"3414","DDX55","DDX55"
"3415","DDX56","DDX56"
"3416","DDX59","DDX59"
"3417","DDX6","DDX6"
"3418","DDX60","DDX60"
"3419","DDX60L","DDX60L"
"3420","DEAF1","DEAF1"
"3421","DECR1","DECR1"
"3422","DECR2","DECR2"
"3423","DEDD","DEDD"
"3424","DEDD2","DEDD2"
"3425","DEF6","DEF6"
"3426","DEF8","DEF8"
"3427","DEFA5","DEFA12"
"3428","DEFA5","DEFA16"
"3429","DEFA5","DEFA23"
"3430","DEFA5","DEFA31L"
"3431","DEFA1B","DEFA36L"
"3432","DEFA5","DEFA5L"
"3433","DEFA5","DEFA7"
"3434","DEFA5","DEFA8"
"3435","DEFB1","DEFB1"
"3436","DEFB110","DEFB110"
"3437","DEFB113","DEFB113"
"3438","DEFB114","DEFB114"
"3439","DEFB115","DEFB115"
"3440","DEFB116","DEFB116"
"3441","DEFB121","DEFB121"
"3442","DEFB124","DEFB124"
"3443","DEFB127","DEFB127"
"3444","DEFB128","DEFB128"
"3445","DEFB129","DEFB129"
"3446","DEFB134","DEFB134"
"3447","DEFB135","DEFB135"
"3448","DEGS1","DEGS1"
"3449","DEGS2","DEGS2"
"3450","DEK","DEK"
"3451","DELE1","DELE1"
"3452","DENND10","DENND10"
"3453","DENND11","DENND11"
"3454","DENND1A","DENND1A"
"3455","DENND1B","DENND1B"
"3456","DENND1C","DENND1C"
"3457","DENND2A","DENND2A"
"3458","DENND2B","DENND2B"
"3459","DENND2C","DENND2C"
"3460","DENND2D","DENND2D"
"3461","DENND3","DENND3"
"3462","DENND4A","DENND4A"
"3463","DENND4B","DENND4B"
"3464","DENND4C","DENND4C"
"3465","DENND5A","DENND5A"
"3466","DENND5B","DENND5B"
"3467","DENND6A","DENND6A"
"3468","DENND6B","DENND6B"
"3469","DENR","DENR"
"3470","DEPDC1","DEPDC1"
"3471","DEPDC1B","DEPDC1B"
"3472","DEPDC4","DEPDC4"
"3473","DEPDC5","DEPDC5"
"3474","DEPDC7","DEPDC7"
"3475","DEPP1","DEPP1"
"3476","DEPTOR","DEPTOR"
"3477","DERA","DERA"
"3478","DERL1","DERL1"
"3479","DERL2","DERL2"
"3480","DERPC","DERPC"
"3481","DES","DES"
"3482","DESI1","DESI1"
"3483","DESI2","DESI2"
"3484","DET1","DET1"
"3485","DEUP1","DEUP1"
"3486","DEXI","DEXI"
"3487","DFFA","DFFA"
"3488","DFFB","DFFB"
"3489","DGAT1","DGAT1"
"3490","DGAT2","DGAT2"
"3491","DGAT2L6","DGAT2L6"
"3492","DGCR2","DGCR2"
"3493","DGCR8","DGCR8"
"3494","DGKA","DGKA"
"3495","DGKB","DGKB"
"3496","DGKD","DGKD"
"3497","DGKE","DGKE"
"3498","DGKG","DGKG"
"3499","DGKH","DGKH"
"3500","DGKI","DGKI"
"3501","DGKK","DGKK"
"3502","DGKQ","DGKQ"
"3503","DGKZ","DGKZ"
"3504","DGUOK","DGUOK"
"3505","DHCR24","DHCR24"
"3506","DHCR7","DHCR7"
"3507","DHDDS","DHDDS"
"3508","DHDH","DHDH"
"3509","DHH","DHH"
"3510","DHODH","DHODH"
"3511","DHPS","DHPS"
"3512","DHRS1","DHRS1"
"3513","DHRS11","DHRS11"
"3514","DHRS13","DHRS13"
"3515","DHRS2","DHRS2"
"3516","DHRS3","DHRS3"
"3517","DHRS7","DHRS7"
"3518","DHRS7B","DHRS7B"
"3519","DHRS7C","DHRS7C"
"3520","DHRS9","DHRS9"
"3521","DHRSX","DHRSX"
"3522","DHTKD1","DHTKD1"
"3523","DHX15","DHX15"
"3524","DHX16","DHX16"
"3525","DHX29","DHX29"
"3526","DHX30","DHX30"
"3527","DHX32","DHX32"
"3528","DHX33","DHX33"
"3529","DHX34","DHX34"
"3530","DHX35","DHX35"
"3531","DHX36","DHX36"
"3532","DHX37","DHX37"
"3533","DHX38","DHX38"
"3534","DHX40","DHX40"
"3535","DHX57","DHX57"
"3536","DHX8","DHX8"
"3537","DHX9","DHX9"
"3538","DIABLO","DIABLO"
"3539","DIAPH2","DIAPH2"
"3540","DIAPH3","DIAPH3"
"3541","DICER1","DICER1"
"3542","DIDO1","DIDO1"
"3543","DIMT1","DIMT1"
"3544","DIO1","DIO1"
"3545","DIO2","DIO2"
"3546","DIO3","DIO3"
"3547","DIP2A","DIP2A"
"3548","DIP2B","DIP2B"
"3549","DIP2C","DIP2C"
"3550","DIPK1A","DIPK1A"
"3551","DIPK1B","DIPK1B"
"3552","DIPK1C","DIPK1C"
"3553","DIPK2A","DIPK2A"
"3554","DIPK2B","DIPK2B"
"3555","DIRAS1","DIRAS1"
"3556","DIRAS2","DIRAS2"
"3557","DIRAS3","DIRAS3"
"3558","DIS3","DIS3"
"3559","DIS3L","DIS3L"
"3560","DIS3L2","DIS3L2"
"3561","DISC1","DISC1"
"3562","DISP1","DISP1"
"3563","DISP2","DISP2"
"3564","DISP3","DISP3"
"3565","DIXDC1","DIXDC1"
"3566","DKC1","DKC1"
"3567","DKK1","DKK1"
"3568","DKK2","DKK2"
"3569","DKK3","DKK3"
"3570","DKK4","DKK4"
"3571","DKKL1","DKKL1"
"3572","DLAT","DLAT"
"3573","DLC1","DLC1"
"3574","DLD","DLD"
"3575","DLEC1","DLEC1"
"3576","DLEU7","DLEU7"
"3577","DLG1","DLG1"
"3578","DLG2","DLG2"
"3579","DLG3","DLG3"
"3580","DLG4","DLG4"
"3581","DLG5","DLG5"
"3582","DLGAP1","DLGAP1"
"3583","DLGAP2","DLGAP2"
"3584","DLGAP3","DLGAP3"
"3585","DLGAP4","DLGAP4"
"3586","DLGAP5","DLGAP5"
"3587","DLK1","DLK1"
"3588","DLK2","DLK2"
"3589","DLL1","DLL1"
"3590","DLL3","DLL3"
"3591","DLL4","DLL4"
"3592","DLST","DLST"
"3593","DLX1","DLX1"
"3594","DLX2","DLX2"
"3595","DLX3","DLX3"
"3596","DLX4","DLX4"
"3597","DLX5","DLX5"
"3598","DLX6","DLX6"
"3599","DMAC2","DMAC2"
"3600","DMAC2L","DMAC2L"
"3601","DMAP1","DMAP1"
"3602","DMBX1","DMBX1"
"3603","DMC1","DMC1"
"3604","DMD","DMD"
"3605","DMGDH","DMGDH"
"3606","DMP1","DMP1"
"3607","DMPK","DMPK"
"3608","DMRT1","DMRT1"
"3609","DMRT2","DMRT2"
"3610","DMRT3","DMRT3"
"3611","DMRTA1","DMRTA1"
"3612","DMRTA2","DMRTA2"
"3613","DMRTB1","DMRTB1"
"3614","DMRTC2","DMRTC2"
"3615","DMTF1","DMTF1"
"3616","DMTN","DMTN"
"3617","DMXL1","DMXL1"
"3618","DMXL2","DMXL2"
"3619","DNA2","DNA2"
"3620","DNAAF1","DNAAF1"
"3621","DNAAF11","DNAAF11"
"3622","DNAAF4","DNAAF4"
"3623","DNAAF5","DNAAF5"
"3624","DNAAF6","DNAAF6"
"3625","DNAAF8","DNAAF8"
"3626","DNAAF9","DNAAF9"
"3627","DNAH1","DNAH1"
"3628","DNAH10","DNAH10"
"3629","DNAH11","DNAH11"
"3630","DNAH12","DNAH12"
"3631","DNAH14","DNAH14"
"3632","DNAH17","DNAH17"
"3633","DNAH2","DNAH2"
"3634","DNAH3","DNAH3"
"3635","DNAH5","DNAH5"
"3636","DNAH6","DNAH6"
"3637","DNAH7","DNAH7"
"3638","DNAH8","DNAH8"
"3639","DNAH9","DNAH9"
"3640","DNAI1","DNAI1"
"3641","DNAI2","DNAI2"
"3642","DNAI3","DNAI3"
"3643","DNAI4","DNAI4"
"3644","DNAI7","DNAI7"
"3645","DNAJA2","DNAJA2"
"3646","DNAJA3","DNAJA3"
"3647","DNAJA4","DNAJA4"
"3648","DNAJB1","DNAJB1"
"3649","DNAJB11","DNAJB11"
"3650","DNAJB12","DNAJB12"
"3651","DNAJB13","DNAJB13"
"3652","DNAJB14","DNAJB14"
"3653","DNAJB2","DNAJB2"
"3654","DNAJB4","DNAJB4"
"3655","DNAJB5","DNAJB5"
"3656","DNAJB6","DNAJB6"
"3657","DNAJB7","DNAJB7"
"3658","DNAJB8","DNAJB8"
"3659","DNAJC1","DNAJC1"
"3660","DNAJC10","DNAJC10"
"3661","DNAJC11","DNAJC11"
"3662","DNAJC12","DNAJC12"
"3663","DNAJC13","DNAJC13"
"3664","DNAJC14","DNAJC14"
"3665","DNAJC15","DNAJC15"
"3666","DNAJC16","DNAJC16"
"3667","DNAJC17","DNAJC17"
"3668","DNAJC18","DNAJC18"
"3669","DNAJC19","DNAJC19"
"3670","DNAJC2","DNAJC2"
"3671","DNAJC21","DNAJC21"
"3672","DNAJC22","DNAJC22"
"3673","DNAJC24","DNAJC24"
"3674","DNAJC25","DNAJC25"
"3675","DNAJC27","DNAJC27"
"3676","DNAJC28","DNAJC28"
"3677","DNAJC3","DNAJC3"
"3678","DNAJC30","DNAJC30"
"3679","DNAJC4","DNAJC4"
"3680","DNAJC5B","DNAJC5B"
"3681","DNAJC6","DNAJC6"
"3682","DNAJC7","DNAJC7"
"3683","DNAJC8","DNAJC8"
"3684","DNAL1","DNAL1"
"3685","DNALI1","DNALI1"
"3686","DNASE1","DNASE1"
"3687","DNASE1L1","DNASE1L1"
"3688","DNASE1L2","DNASE1L2"
"3689","DNASE1L3","DNASE1L3"
"3690","DNASE2","DNASE2"
"3691","DNASE2B","DNASE2B"
"3692","DND1","DND1"
"3693","DNER","DNER"
"3694","DNHD1","DNHD1"
"3695","DNM1","DNM1"
"3696","DNM1L","DNM1L"
"3697","DNM2","DNM2"
"3698","DNM3","DNM3"
"3699","DNMBP","DNMBP"
"3700","DNMT1","DNMT1"
"3701","DNMT3A","DNMT3A"
"3702","DNMT3B","DNMT3B"
"3703","DNMT3L","DNMT3L"
"3704","DNPEP","DNPEP"
"3705","DNPH1","DNPH1"
"3706","DNTT","DNTT"
"3707","DNTTIP1","DNTTIP1"
"3708","DNTTIP2","DNTTIP2"
"3709","DOC2A","DOC2A"
"3710","DOCK1","DOCK1"
"3711","DOCK10","DOCK10"
"3712","DOCK11","DOCK11"
"3713","DOCK2","DOCK2"
"3714","DOCK3","DOCK3"
"3715","DOCK4","DOCK4"
"3716","DOCK5","DOCK5"
"3717","DOCK6","DOCK6"
"3718","DOCK7","DOCK7"
"3719","DOCK8","DOCK8"
"3720","DOCK9","DOCK9"
"3721","DOHH","DOHH"
"3722","DOK1","DOK1"
"3723","DOK2","DOK2"
"3724","DOK3","DOK3"
"3725","DOK4","DOK4"
"3726","DOK5","DOK5"
"3727","DOK6","DOK6"
"3728","DOK7","DOK7"
"3729","DOLK","DOLK"
"3730","DOLPP1","DOLPP1"
"3731","DONSON","DONSON"
"3732","DOP1A","DOP1A"
"3733","DOP1B","DOP1B"
"3734","DOT1L","DOT1L"
"3735","DPAGT1","DPAGT1"
"3736","DPCD","DPCD"
"3737","DPEP1","DPEP1"
"3738","DPEP2","DPEP2"
"3739","DPEP3","DPEP3"
"3740","DPF1","DPF1"
"3741","TIGD3","DPF2"
"3742","DPF3","DPF3"
"3743","DPH2","DPH2"
"3744","DPH5","DPH5"
"3745","DPH6","DPH6"
"3746","DPH7","DPH7"
"3747","DPM1","DPM1"
"3748","DPM2","DPM2"
"3749","DPP10","DPP10"
"3750","DPP3","DPP3"
"3751","DPP4","DPP4"
"3752","DPP6","DPP6"
"3753","DPP7","DPP7"
"3754","DPP8","DPP8"
"3755","DPP9","DPP9"
"3756","DPPA2","DPPA2"
"3757","DPPA3","DPPA3"
"3758","DPPA4","DPPA4"
"3759","DPT","DPT"
"3760","DPY19L1","DPY19L1"
"3761","DPY19L2","DPY19L2"
"3762","DPY19L3","DPY19L3"
"3763","DPY19L4","DPY19L4"
"3764","DPY30","DPY30"
"3765","DPYD","DPYD"
"3766","DPYS","DPYS"
"3767","DPYSL2","DPYSL2"
"3768","DPYSL3","DPYSL3"
"3769","DPYSL4","DPYSL4"
"3770","DPYSL5","DPYSL5"
"3771","DQX1","DQX1"
"3772","DR1","DR1"
"3773","DRAM1","DRAM1"
"3774","DRAM2","DRAM2"
"3775","DRAP1","DRAP1"
"3776","DRAXIN","DRAXIN"
"3777","DRC1","DRC1"
"3778","DRC3","DRC3"
"3779","DRC7","DRC7"
"3780","DRD1","DRD1"
"3781","DRD2","DRD2"
"3782","DRD3","DRD3"
"3783","DRD4","DRD4"
"3784","DRD5","DRD5"
"3785","DRG1","DRG1"
"3786","DRG2","DRG2"
"3787","DRGX","DRGX"
"3788","DROSHA","DROSHA"
"3789","DRP2","DRP2"
"3790","DSC1","DSC1"
"3791","DSC2","DSC2"
"3792","DSC3","DSC3"
"3793","DSCAM","DSCAM"
"3794","DSCAML1","DSCAML1"
"3795","DSCC1","DSCC1"
"3796","DSE","DSE"
"3797","DSEL","DSEL"
"3798","DSG1","DSG1"
"3799","DSG2","DSG2"
"3800","DSG3","DSG3"
"3801","DSG4","DSG4"
"3802","DSP","DSP"
"3803","DSPP","DSPP"
"3804","DST","DST"
"3805","DSTN","DSTN"
"3806","DSTYK","DSTYK"
"3807","DTD1","DTD1"
"3808","DTD2","DTD2"
"3809","DTHD1","DTHD1"
"3810","DTL","DTL"
"3811","DTNA","DTNA"
"3812","DTNB","DTNB"
"3813","DTNBP1","DTNBP1"
"3814","DTWD1","DTWD1"
"3815","DTWD2","DTWD2"
"3816","DTX1","DTX1"
"3817","DTX2","DTX2"
"3818","DTX3","DTX3"
"3819","DTX3L","DTX3L"
"3820","DTX4","DTX4"
"3821","DUOX1","DUOX1"
"3822","DUOX2","DUOX2"
"3823","DUOXA1","DUOXA1"
"3824","DUOXA2","DUOXA2"
"3825","DUS1L","DUS1L"
"3826","DUS4L","DUS4L"
"3827","DUSP1","DUSP1"
"3828","DUSP10","DUSP10"
"3829","DUSP11","DUSP11"
"3830","DUSP12","DUSP12"
"3831","DUSP13B","DUSP13B"
"3832","DUSP14","DUSP14"
"3833","DUSP15","DUSP15"
"3834","DUSP16","DUSP16"
"3835","DUSP19","DUSP19"
"3836","DUSP2","DUSP2"
"3837","DUSP22","DUSP22"
"3838","DUSP26","DUSP26"
"3839","DUSP28","DUSP28"
"3840","DUSP29","DUSP29"
"3841","DUSP3","DUSP3"
"3842","DUSP4","DUSP4"
"3843","DUSP5","DUSP5"
"3844","DUSP6","DUSP6"
"3845","DUSP7","DUSP7"
"3846","DUSP8","DUSP8"
"3847","DUSP9","DUSP9"
"3848","DUXA","DUXA"
"3849","DVL1","DVL1"
"3850","DVL2","DVL2"
"3851","DVL3","DVL3"
"3852","DXO","DXO"
"3853","DYDC1","DYDC1"
"3854","DYDC2","DYDC2"
"3855","DYM","DYM"
"3856","DYNAP","DYNAP"
"3857","DYNC1H1","DYNC1H1"
"3858","DYNC1I1","DYNC1I1"
"3859","DYNC1I2","DYNC1I2"
"3860","DYNC1LI1","DYNC1LI1"
"3861","DYNC1LI2","DYNC1LI2"
"3862","DYNC2H1","DYNC2H1"
"3863","DYNC2I1","DYNC2I1"
"3864","DYNC2I2","DYNC2I2"
"3865","DYNC2LI1","DYNC2LI1"
"3866","DYNLRB2","DYNLRB2"
"3867","DYNLT1","DYNLT1"
"3868","DYNLT3","DYNLT3"
"3869","DYNLT4","DYNLT4"
"3870","DYRK1A","DYRK1A"
"3871","DYRK1B","DYRK1B"
"3872","DYRK2","DYRK2"
"3873","DYRK3","DYRK3"
"3874","DYSF","DYSF"
"3875","DYTN","DYTN"
"3876","DZANK1","DZANK1"
"3877","DZIP1","DZIP1"
"3878","DZIP1L","DZIP1L"
"3879","DZIP3","DZIP3"
"3880","E2F2","E2F2"
"3881","E2F3","E2F3"
"3882","E2F4","E2F4"
"3883","E2F5","E2F5"
"3884","E2F6","E2F6"
"3885","E2F7","E2F7"
"3886","E2F8","E2F8"
"3887","E4F1","E4F1"
"3888","EAF1","EAF1"
"3889","EAF2","EAF2"
"3890","EAPP","EAPP"
"3891","EARS2","EARS2"
"3892","EBAG9","EBAG9"
"3893","EBF1","EBF1"
"3894","EBF2","EBF2"
"3895","EBF3","EBF3"
"3896","EBF4","EBF4"
"3897","EBI3","EBI3"
"3898","EBNA1BP2","EBNA1BP2"
"3899","EBP","EBP"
"3900","EBPL","EBPL"
"3901","ECD","ECD"
"3902","ECE1","ECE1"
"3903","ECE2","ECE2"
"3904","ECEL1","ECEL1"
"3905","ECH1","ECH1"
"3906","ECHDC1","ECHDC1"
"3907","ECHDC2","ECHDC2"
"3908","ECHDC3","ECHDC3"
"3909","ECHS1","ECHS1"
"3910","ECI1","ECI1"
"3911","ECI2","ECI2"
"3912","ECM1","ECM1"
"3913","ECM2","ECM2"
"3914","ECPAS","ECPAS"
"3915","ECRG4","ECRG4"
"3916","ECSIT","ECSIT"
"3917","ECT2","ECT2"
"3918","ECT2L","ECT2L"
"3919","EDA","EDA"
"3920","EDAR","EDAR"
"3921","EDARADD","EDARADD"
"3922","EDC3","EDC3"
"3923","EDC4","EDC4"
"3924","EDDM13","EDDM13"
"3925","EDEM1","EDEM1"
"3926","EDEM2","EDEM2"
"3927","EDEM3","EDEM3"
"3928","EDF1","EDF1"
"3929","EDIL3","EDIL3"
"3930","EDN1","EDN1"
"3931","EDN2","EDN2"
"3932","EDN3","EDN3"
"3933","EDNRA","EDNRA"
"3934","EDNRB","EDNRB"
"3935","EDRF1","EDRF1"
"3936","EEA1","EEA1"
"3937","EED","EED"
"3938","EEF1A1","EEF1A1"
"3939","EEF1A2","EEF1A2"
"3940","EEF1B2","EEF1B2"
"3941","EEF1D","EEF1D"
"3942","EEF1E1","EEF1E1"
"3943","EEF1G","EEF1G"
"3944","EEF2","EEF2"
"3945","EEF2K","EEF2K"
"3946","EEFSEC","EEFSEC"
"3947","EEIG1","EEIG1"
"3948","EEIG2","EEIG2"
"3949","EEPD1","EEPD1"
"3950","EFCAB10","EFCAB10"
"3951","EFCAB11","EFCAB11"
"3952","EFCAB13","EFCAB13"
"3953","EFCAB14","EFCAB14"
"3954","EFCAB2","EFCAB2"
"3955","EFCAB3","EFCAB3"
"3956","EFCAB5","EFCAB5"
"3957","EFCAB6","EFCAB6"
"3958","EFCAB7","EFCAB7"
"3959","EFCAB8","EFCAB8"
"3960","EFCAB9","EFCAB9"
"3961","EFEMP1","EFEMP1"
"3962","EFEMP2","EFEMP2"
"3963","EFHC1","EFHC1"
"3964","EFHC2","EFHC2"
"3965","EFHD1","EFHD1"
"3966","EFL1","EFL1"
"3967","EFNA1","EFNA1"
"3968","EFNA2","EFNA2"
"3969","EFNA3","EFNA3"
"3970","EFNA4","EFNA4"
"3971","EFNA5","EFNA5"
"3972","EFNB1","EFNB1"
"3973","EFNB2","EFNB2"
"3974","EFNB3","EFNB3"
"3975","EFR3A","EFR3A"
"3976","EFR3B","EFR3B"
"3977","EFS","EFS"
"3978","EFTUD2","EFTUD2"
"3979","EGF","EGF"
"3980","EGFL6","EGFL6"
"3981","EGFL7","EGFL7"
"3982","EGFLAM","EGFLAM"
"3983","EGFR","EGFR"
"3984","EGLN1","EGLN1"
"3985","EGLN2","EGLN2"
"3986","EGLN3","EGLN3"
"3987","EGR1","EGR1"
"3988","EGR2","EGR2"
"3989","EGR3","EGR3"
"3990","EGR4","EGR4"
"3991","EHBP1","EHBP1"
"3992","EHBP1L1","EHBP1L1"
"3993","EHD1","EHD1"
"3994","EHD2","EHD2"
"3995","EHD3","EHD3"
"3996","EHD4","EHD4"
"3997","EHF","EHF"
"3998","EHHADH","EHHADH"
"3999","EHMT1","EHMT1"
"4000","EHMT2","EHMT2"
"4001","EI24","EI24"
"4002","EID2","EID2"
"4003","EID3","EID3"
"4004","EIF1AD","EIF1AD"
"4005","EIF1AX","EIF1AX"
"4006","EIF1B","EIF1B"
"4007","EIF2A","EIF2A"
"4008","EIF2AK1","EIF2AK1"
"4009","EIF2AK2","EIF2AK2"
"4010","EIF2AK3","EIF2AK3"
"4011","EIF2AK4","EIF2AK4"
"4012","EIF2B1","EIF2B1"
"4013","EIF2B2","EIF2B2"
"4014","EIF2B3","EIF2B3"
"4015","EIF2B4","EIF2B4"
"4016","EIF2B5","EIF2B5"
"4017","EIF2D","EIF2D"
"4018","EIF2S1","EIF2S1"
"4019","EIF2S3B","EIF2S3B"
"4020","EIF3A","EIF3A"
"4021","EIF3B","EIF3B"
"4022","EIF3D","EIF3D"
"4023","EIF3E","EIF3E"
"4024","EIF3F","EIF3F"
"4025","EIF3H","EIF3H"
"4026","EIF3I","EIF3I"
"4027","EIF3J","EIF3J"
"4028","EIF3K","EIF3K"
"4029","EIF3L","EIF3L"
"4030","EIF3M","EIF3M"
"4031","EIF4A2","EIF4A2"
"4032","EIF4A3","EIF4A3"
"4033","EIF4B","EIF4B"
